time (s)	det(V)
4192.765499	1.595203	
4192.767498	1.595186	
4192.771499	1.595216	
4192.773498	1.595232	
4192.775499	1.595154	
4192.777499	1.595144	
4192.779499	1.595180	
4192.781499	1.595152	
4192.783499	1.595150	
4192.785506	1.595209	
4192.787499	1.595149	
4192.789499	1.595194	
4192.791498	1.595168	
4192.795499	1.595159	
4192.797499	1.595187	
4192.799499	1.595153	
4192.801499	1.595118	
4192.803499	1.595134	
4192.805499	1.595101	
4192.809498	1.595039	
4192.811499	1.593755	
4192.815499	1.587782	
4192.817498	1.508281	
4192.819500	1.463609	
4192.821498	1.409084	
4192.823498	1.371410	
4192.825498	1.327715	
4192.827498	1.283382	
4192.831498	1.250146	
4192.835499	1.167753	
4192.837500	1.098681	
4192.839499	1.063047	
4192.841499	1.025161	
4192.843499	0.988271	
4192.845499	0.961258	
4192.847498	0.925521	
4192.851499	0.888377	
4192.855499	0.824147	
4192.857498	0.769902	
4192.859499	0.739882	
4192.861498	0.715932	
4192.863498	0.689566	
4192.865498	0.661091	
4192.867498	0.635838	
4192.871499	0.609002	
4192.875499	0.555321	
4192.877501	0.513468	
4192.879499	0.501979	
4192.881500	0.477565	
4192.883499	0.455915	
4192.885499	0.446424	
4192.887499	0.418262	
4192.891499	0.399091	
4192.895499	0.360942	
4192.897499	0.344781	
4192.899498	0.330965	
4192.901498	0.317599	
4192.903498	0.301555	
4192.905499	0.285569	
4192.907498	0.274997	
4192.909501	0.257106	
4192.913499	0.247393	
4192.915499	0.225430	
4192.917499	0.221255	
4192.919499	0.216269	
4192.921499	0.195620	
4192.923508	0.190311	
4192.925499	0.182345	
4192.927500	0.173030	
4192.929499	0.169828	
4192.931498	0.154972	
4192.935499	0.149658	
4192.937500	0.134113	
4192.939498	0.131020	
4192.941499	0.128798	
4192.943499	0.118553	
4192.945499	0.117830	
4192.947498	0.115477	
4192.951498	0.106772	
4192.953498	0.092356	
4192.957498	0.084368	
4192.959499	0.084496	
4192.961499	0.084438	
4192.963499	0.082615	
4192.965499	0.076895	
4192.967499	0.077523	
4192.969498	0.073704	
4192.973498	0.054279	
4192.977498	0.055716	
4192.979499	0.061454	
4192.981499	0.055401	
4192.983498	0.054385	
4192.985499	0.055307	
4192.987499	0.044666	
4192.989498	0.041766	
4192.993499	0.034226	
4192.997499	0.034327	
4192.999498	0.035385	
4193.001499	0.039711	
4193.003499	0.030954	
